Norm,Agent1,Agent2,Agent1_Stance,Agent2_Stance,Status
Norm 5,Agent5,Agent1,disagree,agree,defends
Norm 5,Agent6,Agent2,disagree,agree,defends
Norm 5,Agent8,Agent9,neutral,disagree,defends
Norm 5,Agent5,Agent1,disagree,agree,defends
Norm 6,Agent4,Agent3,agree,neutral,defends
Norm 6,Agent1,Agent8,neutral,agree,defends
Norm 6,Agent1,Agent9,neutral,agree,attacks
Norm 6,Agent3,Agent10,neutral,agree,attacks
Norm 6,Agent1,Agent4,neutral,agree,attacks
Norm 6,Agent5,Agent4,disagree,agree,defends
Norm 6,Agent1,Agent6,neutral,neutral,defends
Norm 6,Agent8,Agent1,agree,neutral,attacks
Norm 6,Agent6,Agent4,neutral,agree,defends
Norm 7,Agent1,Agent10,disagree,disagree,defends
Norm 7,Agent1,Agent3,disagree,neutral,defends
Norm 7,Agent2,Agent1,neutral,disagree,attacks
Norm 7,Agent10,Agent8,disagree,agree,attacks
Norm 7,Agent10,Agent5,disagree,neutral,defends
Norm 7,Agent3,Agent5,neutral,neutral,defends
Norm 7,Agent1,Agent3,disagree,neutral,attacks
Norm 7,Agent3,Agent8,neutral,agree,attacks
Norm 8,Agent7,Agent6,disagree,agree,defends
Norm 8,Agent1,Agent3,disagree,disagree,defends
Norm 8,Agent9,Agent10,disagree,agree,attacks
Norm 8,Agent8,Agent2,agree,agree,attacks
Norm 8,Agent9,Agent4,disagree,neutral,attacks
Norm 8,Agent3,Agent9,disagree,disagree,defends
Norm 8,Agent3,Agent8,disagree,agree,attacks
Norm 8,Agent9,Agent7,disagree,disagree,attacks
Norm 8,Agent9,Agent2,disagree,agree,defends
Norm 8,Agent6,Agent2,agree,agree,defends
Norm 8,Agent3,Agent2,disagree,agree,defends
Norm 8,Agent5,Agent4,disagree,neutral,attacks
Norm 9,Agent3,Agent6,disagree,disagree,defends
Norm 9,Agent3,Agent8,disagree,disagree,defends
Norm 9,Agent8,Agent3,disagree,disagree,attacks
Norm 9,Agent9,Agent6,agree,disagree,attacks
Norm 9,Agent5,Agent4,neutral,neutral,defends
Norm 9,Agent4,Agent2,neutral,disagree,defends
Norm 9,Agent9,Agent2,agree,disagree,attacks
Norm 10,Agent6,Agent4,neutral,neutral,attacks
Norm 10,Agent9,Agent2,disagree,neutral,defends
Norm 10,Agent1,Agent6,agree,neutral,defends
Norm 10,Agent4,Agent2,neutral,neutral,defends
Norm 10,Agent9,Agent1,disagree,agree,attacks
Norm 10,Agent5,Agent2,agree,neutral,defends
Norm 10,Agent9,Agent6,disagree,neutral,attacks
Norm 10,Agent3,Agent4,disagree,neutral,attacks
Norm 10,Agent2,Agent6,neutral,neutral,attacks
Norm 10,Agent3,Agent7,disagree,disagree,attacks
Norm 11,Agent2,Agent5,disagree,disagree,attacks
Norm 11,Agent2,Agent5,disagree,disagree,attacks
Norm 11,Agent3,Agent2,disagree,disagree,defends
Norm 11,Agent7,Agent9,disagree,disagree,defends
Norm 11,Agent9,Agent10,disagree,neutral,attacks
Norm 11,Agent10,Agent6,neutral,agree,defends
Norm 11,Agent3,Agent2,disagree,disagree,defends
Norm 11,Agent5,Agent9,disagree,disagree,attacks
Norm 11,Agent7,Agent4,disagree,disagree,attacks
Norm 11,Agent4,Agent1,disagree,agree,defends
Norm 11,Agent9,Agent5,disagree,disagree,defends
Norm 11,Agent5,Agent4,disagree,disagree,attacks
Norm 11,Agent7,Agent10,disagree,neutral,attacks
Norm 12,Agent3,Agent5,disagree,disagree,defends
Norm 12,Agent8,Agent5,disagree,disagree,defends
Norm 12,Agent2,Agent9,agree,disagree,attacks
Norm 12,Agent1,Agent3,agree,disagree,defends
Norm 12,Agent10,Agent4,neutral,agree,attacks
Norm 12,Agent4,Agent3,agree,disagree,defends
Norm 12,Agent9,Agent6,disagree,neutral,defends
Norm 12,Agent1,Agent4,agree,agree,attacks
Norm 12,Agent4,Agent5,agree,disagree,defends
Norm 12,Agent3,Agent5,disagree,disagree,attacks
Norm 13,Agent2,Agent1,disagree,neutral,defends
Norm 13,Agent2,Agent6,disagree,agree,defends
Norm 13,Agent9,Agent6,neutral,agree,attacks
Norm 13,Agent5,Agent9,agree,neutral,defends
Norm 13,Agent2,Agent6,disagree,agree,attacks
Norm 13,Agent10,Agent7,disagree,disagree,attacks
Norm 13,Agent6,Agent7,agree,disagree,attacks
Norm 13,Agent2,Agent3,disagree,neutral,attacks
Norm 13,Agent6,Agent5,agree,agree,defends
Norm 13,Agent3,Agent7,neutral,disagree,defends
Norm 13,Agent3,Agent5,neutral,agree,attacks
Norm 14,Agent9,Agent10,disagree,neutral,defends
Norm 14,Agent6,Agent1,disagree,disagree,attacks
Norm 14,Agent5,Agent9,neutral,disagree,attacks
Norm 14,Agent1,Agent2,disagree,disagree,attacks
Norm 14,Agent6,Agent8,disagree,agree,attacks
Norm 14,Agent10,Agent6,neutral,disagree,defends
Norm 14,Agent3,Agent8,disagree,agree,defends
Norm 14,Agent1,Agent5,disagree,neutral,attacks
Norm 14,Agent6,Agent7,disagree,neutral,attacks
Norm 14,Agent6,Agent10,disagree,neutral,attacks
Norm 15,Agent8,Agent1,neutral,agree,defends
Norm 15,Agent4,Agent10,agree,agree,defends
Norm 15,Agent2,Agent8,neutral,neutral,defends
Norm 15,Agent7,Agent3,neutral,disagree,attacks
Norm 15,Agent5,Agent7,disagree,neutral,attacks
Norm 16,Agent3,Agent4,neutral,neutral,attacks
Norm 16,Agent10,Agent9,disagree,disagree,defends
Norm 16,Agent9,Agent6,disagree,agree,attacks
Norm 16,Agent1,Agent9,agree,disagree,attacks
Norm 16,Agent6,Agent8,agree,agree,defends
Norm 16,Agent6,Agent7,agree,neutral,attacks
Norm 16,Agent4,Agent2,neutral,disagree,defends
Norm 16,Agent8,Agent2,agree,disagree,defends
Norm 16,Agent7,Agent8,neutral,agree,defends
Norm 17,Agent8,Agent5,agree,disagree,defends
Norm 17,Agent8,Agent7,agree,agree,defends
Norm 17,Agent8,Agent3,agree,agree,defends
Norm 17,Agent3,Agent7,agree,agree,defends
Norm 17,Agent10,Agent7,agree,agree,attacks
Norm 18,Agent7,Agent5,agree,neutral,attacks
Norm 18,Agent6,Agent1,disagree,neutral,defends
Norm 18,Agent7,Agent10,agree,neutral,attacks
Norm 18,Agent6,Agent4,disagree,agree,defends
Norm 18,Agent5,Agent9,neutral,disagree,defends
Norm 18,Agent2,Agent5,neutral,neutral,attacks
Norm 18,Agent2,Agent10,neutral,neutral,attacks
Norm 18,Agent3,Agent6,agree,disagree,attacks
Norm 18,Agent10,Agent6,neutral,disagree,attacks
Norm 18,Agent6,Agent10,disagree,neutral,defends
Norm 18,Agent5,Agent6,neutral,disagree,attacks
Norm 18,Agent5,Agent1,neutral,neutral,defends
Norm 18,Agent10,Agent6,neutral,disagree,defends
Norm 18,Agent9,Agent3,disagree,agree,defends
Norm 18,Agent10,Agent2,neutral,neutral,attacks
Norm 19,Agent3,Agent8,disagree,disagree,attacks
Norm 19,Agent4,Agent8,disagree,disagree,defends
Norm 19,Agent8,Agent3,disagree,disagree,defends
Norm 19,Agent8,Agent4,disagree,disagree,defends
Norm 19,Agent7,Agent1,neutral,disagree,attacks
Norm 19,Agent5,Agent6,disagree,agree,attacks
Norm 19,Agent4,Agent10,disagree,neutral,attacks
Norm 19,Agent4,Agent7,disagree,neutral,defends
Norm 19,Agent8,Agent10,disagree,neutral,defends
Norm 19,Agent6,Agent5,agree,disagree,defends
Norm 19,Agent3,Agent8,disagree,disagree,defends
Norm 19,Agent2,Agent5,neutral,disagree,defends
Norm 20,Agent3,Agent5,neutral,neutral,defends
Norm 20,Agent8,Agent6,neutral,agree,defends
Norm 20,Agent7,Agent3,agree,neutral,defends
Norm 20,Agent9,Agent3,agree,neutral,attacks
Norm 20,Agent8,Agent2,neutral,disagree,defends
Norm 20,Agent10,Agent5,agree,neutral,defends
Norm 20,Agent8,Agent9,neutral,agree,attacks
Norm 21,Agent10,Agent5,agree,neutral,defends
Norm 21,Agent5,Agent10,neutral,agree,defends
Norm 21,Agent3,Agent7,agree,disagree,attacks
Norm 21,Agent9,Agent10,agree,agree,attacks
Norm 21,Agent6,Agent8,neutral,disagree,defends
Norm 21,Agent3,Agent4,agree,disagree,attacks
Norm 21,Agent10,Agent6,agree,neutral,defends
Norm 21,Agent10,Agent8,agree,disagree,attacks
Norm 21,Agent1,Agent8,disagree,disagree,defends
Norm 21,Agent9,Agent3,agree,agree,defends
Norm 21,Agent6,Agent1,neutral,disagree,attacks
Norm 21,Agent2,Agent8,agree,disagree,defends
Norm 21,Agent4,Agent6,disagree,neutral,defends
Norm 21,Agent5,Agent6,neutral,neutral,attacks
Norm 22,Agent4,Agent9,disagree,neutral,defends
Norm 22,Agent6,Agent9,agree,neutral,defends
Norm 22,Agent4,Agent3,disagree,disagree,attacks
Norm 22,Agent1,Agent2,disagree,disagree,defends
Norm 22,Agent8,Agent5,agree,agree,defends
Norm 22,Agent2,Agent1,disagree,disagree,attacks
Norm 22,Agent8,Agent1,agree,disagree,defends
Norm 22,Agent1,Agent6,disagree,agree,attacks
Norm 22,Agent10,Agent6,agree,agree,attacks
Norm 23,Agent9,Agent5,neutral,neutral,attacks
Norm 23,Agent10,Agent7,neutral,agree,defends
Norm 23,Agent5,Agent10,neutral,neutral,defends
Norm 23,Agent3,Agent5,disagree,neutral,attacks
Norm 23,Agent7,Agent5,agree,neutral,defends
Norm 23,Agent1,Agent5,agree,neutral,defends
Norm 23,Agent3,Agent9,disagree,neutral,defends
Norm 23,Agent8,Agent10,agree,neutral,attacks
Norm 23,Agent6,Agent7,agree,agree,attacks
Norm 24,Agent5,Agent10,neutral,disagree,defends
Norm 24,Agent2,Agent9,agree,neutral,attacks
Norm 24,Agent9,Agent3,neutral,agree,attacks
Norm 24,Agent10,Agent6,disagree,disagree,defends
Norm 24,Agent5,Agent1,neutral,agree,defends
Norm 24,Agent7,Agent5,disagree,neutral,attacks
Norm 25,Agent8,Agent7,agree,neutral,defends
Norm 25,Agent8,Agent5,agree,agree,defends
Norm 25,Agent10,Agent4,disagree,agree,defends
Norm 25,Agent5,Agent1,agree,disagree,defends
Norm 25,Agent6,Agent8,neutral,agree,attacks
Norm 25,Agent9,Agent6,disagree,neutral,defends
Norm 25,Agent10,Agent3,disagree,disagree,attacks
Norm 25,Agent8,Agent3,agree,disagree,attacks
Norm 25,Agent5,Agent8,agree,agree,attacks
Norm 25,Agent7,Agent3,neutral,disagree,attacks
Norm 25,Agent10,Agent5,disagree,agree,attacks
Norm 25,Agent2,Agent9,neutral,disagree,attacks
Norm 25,Agent8,Agent10,agree,disagree,defends
Norm 25,Agent8,Agent5,agree,agree,defends
Norm 26,Agent2,Agent1,neutral,agree,attacks
Norm 26,Agent5,Agent1,disagree,agree,defends
Norm 26,Agent10,Agent7,neutral,agree,attacks
Norm 26,Agent2,Agent5,neutral,disagree,defends
Norm 26,Agent8,Agent5,neutral,disagree,defends
Norm 27,Agent9,Agent8,neutral,agree,defends
Norm 27,Agent9,Agent3,neutral,disagree,defends
Norm 27,Agent2,Agent1,disagree,disagree,defends
Norm 27,Agent10,Agent1,agree,disagree,attacks
Norm 27,Agent7,Agent4,neutral,neutral,defends
Norm 27,Agent10,Agent7,agree,neutral,defends
Norm 27,Agent5,Agent3,neutral,disagree,defends
Norm 27,Agent3,Agent6,disagree,agree,defends
Norm 27,Agent6,Agent5,agree,neutral,attacks
Norm 27,Agent3,Agent10,disagree,agree,defends
Norm 27,Agent6,Agent5,agree,neutral,defends
Norm 27,Agent9,Agent7,neutral,neutral,attacks
Norm 27,Agent4,Agent6,neutral,agree,defends
Norm 28,Agent6,Agent7,neutral,disagree,defends
Norm 28,Agent5,Agent4,neutral,neutral,attacks
Norm 28,Agent9,Agent1,agree,agree,attacks
Norm 28,Agent4,Agent3,neutral,agree,defends
Norm 28,Agent6,Agent9,neutral,agree,attacks
Norm 28,Agent1,Agent8,agree,disagree,defends
Norm 28,Agent2,Agent10,neutral,neutral,defends
Norm 28,Agent1,Agent10,agree,neutral,defends
Norm 29,Agent8,Agent3,disagree,neutral,attacks
Norm 29,Agent6,Agent7,disagree,agree,attacks
Norm 29,Agent2,Agent1,disagree,neutral,defends
Norm 29,Agent2,Agent3,disagree,neutral,defends
Norm 29,Agent1,Agent10,neutral,disagree,defends
Norm 29,Agent1,Agent10,neutral,disagree,defends
Norm 29,Agent10,Agent9,disagree,agree,defends
Norm 30,Agent10,Agent3,neutral,disagree,defends
Norm 30,Agent6,Agent2,neutral,neutral,defends
Norm 30,Agent8,Agent4,neutral,neutral,attacks
Norm 30,Agent10,Agent3,neutral,disagree,defends
Norm 30,Agent1,Agent4,disagree,neutral,defends
Norm 30,Agent5,Agent6,disagree,neutral,defends
Norm 30,Agent2,Agent1,neutral,disagree,defends
Norm 30,Agent2,Agent5,neutral,disagree,attacks
Norm 30,Agent6,Agent8,neutral,neutral,defends
Norm 30,Agent6,Agent5,neutral,disagree,attacks
Norm 30,Agent9,Agent4,disagree,neutral,attacks
Norm 31,Agent3,Agent10,agree,agree,defends
Norm 31,Agent1,Agent9,disagree,agree,attacks
Norm 31,Agent5,Agent10,agree,agree,defends
Norm 31,Agent10,Agent2,agree,neutral,attacks
Norm 31,Agent7,Agent10,agree,agree,attacks
Norm 31,Agent3,Agent2,agree,neutral,attacks
Norm 31,Agent1,Agent6,disagree,neutral,defends
Norm 31,Agent4,Agent8,neutral,neutral,defends
Norm 31,Agent5,Agent7,agree,agree,attacks
Norm 32,Agent6,Agent10,disagree,neutral,defends
Norm 32,Agent9,Agent6,agree,disagree,defends
Norm 32,Agent9,Agent1,agree,disagree,defends
Norm 32,Agent4,Agent1,agree,disagree,attacks
Norm 32,Agent2,Agent3,neutral,agree,defends
Norm 32,Agent7,Agent5,disagree,agree,defends
Norm 32,Agent2,Agent3,neutral,agree,defends
Norm 32,Agent1,Agent4,disagree,agree,attacks
Norm 32,Agent7,Agent5,disagree,agree,attacks
Norm 32,Agent10,Agent4,neutral,agree,defends
Norm 33,Agent6,Agent10,agree,agree,defends
Norm 33,Agent1,Agent9,agree,agree,attacks
Norm 33,Agent9,Agent10,agree,agree,defends
Norm 33,Agent9,Agent8,agree,agree,defends
Norm 33,Agent1,Agent7,agree,neutral,defends
Norm 33,Agent9,Agent3,agree,agree,defends
Norm 33,Agent3,Agent6,agree,agree,defends
Norm 33,Agent10,Agent1,agree,agree,attacks
Norm 33,Agent9,Agent4,agree,disagree,defends
Norm 33,Agent6,Agent9,agree,agree,defends
Norm 34,Agent2,Agent10,disagree,disagree,defends
Norm 34,Agent6,Agent7,neutral,agree,defends
Norm 34,Agent5,Agent6,disagree,neutral,defends
Norm 34,Agent6,Agent5,neutral,disagree,attacks
Norm 34,Agent9,Agent4,agree,disagree,defends
Norm 34,Agent6,Agent1,neutral,agree,attacks
Norm 34,Agent10,Agent1,disagree,agree,defends
Norm 34,Agent7,Agent10,agree,disagree,attacks
Norm 34,Agent4,Agent3,disagree,disagree,attacks
Norm 34,Agent4,Agent6,disagree,neutral,defends
Norm 34,Agent9,Agent3,agree,disagree,defends
Norm 34,Agent2,Agent1,disagree,agree,defends
Norm 34,Agent2,Agent6,disagree,neutral,attacks
Norm 34,Agent5,Agent1,disagree,agree,attacks
Norm 35,Agent1,Agent5,agree,disagree,attacks
Norm 35,Agent4,Agent3,neutral,neutral,attacks
Norm 35,Agent8,Agent2,neutral,neutral,attacks
Norm 35,Agent10,Agent4,neutral,neutral,defends
Norm 35,Agent1,Agent5,agree,disagree,attacks
Norm 35,Agent8,Agent5,neutral,disagree,attacks
Norm 35,Agent6,Agent10,agree,neutral,defends
Norm 35,Agent3,Agent10,neutral,neutral,attacks
Norm 35,Agent4,Agent10,neutral,neutral,defends
Norm 35,Agent2,Agent5,neutral,disagree,attacks
Norm 35,Agent10,Agent8,neutral,neutral,defends
Norm 36,Agent1,Agent9,disagree,agree,attacks
Norm 36,Agent9,Agent6,agree,neutral,defends
Norm 36,Agent10,Agent2,agree,agree,defends
Norm 36,Agent7,Agent4,agree,neutral,attacks
Norm 36,Agent10,Agent5,agree,agree,attacks
Norm 36,Agent9,Agent7,agree,agree,defends
Norm 36,Agent4,Agent8,neutral,disagree,defends
Norm 36,Agent2,Agent6,agree,neutral,attacks
Norm 36,Agent6,Agent9,neutral,agree,attacks
Norm 36,Agent4,Agent9,neutral,agree,attacks
Norm 36,Agent6,Agent7,neutral,agree,defends
Norm 36,Agent10,Agent2,agree,agree,attacks
Norm 37,Agent1,Agent5,disagree,disagree,attacks
Norm 37,Agent2,Agent5,neutral,disagree,defends
Norm 37,Agent2,Agent9,neutral,disagree,defends
Norm 37,Agent4,Agent5,disagree,disagree,defends
Norm 37,Agent1,Agent8,disagree,disagree,attacks
Norm 37,Agent1,Agent10,disagree,disagree,defends
Norm 37,Agent9,Agent7,disagree,neutral,defends
Norm 37,Agent9,Agent6,disagree,agree,attacks
Norm 38,Agent1,Agent8,agree,disagree,defends
Norm 38,Agent9,Agent5,disagree,agree,attacks
Norm 38,Agent7,Agent3,agree,agree,attacks
Norm 38,Agent8,Agent7,disagree,agree,attacks
Norm 38,Agent10,Agent6,disagree,agree,attacks
Norm 38,Agent8,Agent6,disagree,agree,defends
Norm 38,Agent7,Agent4,agree,disagree,attacks
Norm 38,Agent9,Agent5,disagree,agree,attacks
Norm 39,Agent9,Agent7,agree,disagree,attacks
Norm 39,Agent4,Agent7,agree,disagree,attacks
Norm 39,Agent9,Agent4,agree,agree,attacks
Norm 39,Agent9,Agent8,agree,agree,attacks
Norm 39,Agent5,Agent1,disagree,neutral,attacks
Norm 39,Agent8,Agent5,agree,disagree,attacks
Norm 39,Agent2,Agent7,agree,disagree,defends
Norm 39,Agent10,Agent5,agree,disagree,defends
Norm 39,Agent1,Agent6,neutral,neutral,defends
Norm 39,Agent10,Agent8,agree,agree,defends
Norm 40,Agent1,Agent4,disagree,agree,attacks
Norm 40,Agent4,Agent5,agree,agree,defends
Norm 40,Agent7,Agent4,agree,agree,defends
Norm 40,Agent4,Agent10,agree,disagree,attacks
Norm 40,Agent7,Agent6,agree,disagree,defends
Norm 40,Agent9,Agent7,disagree,agree,defends
Norm 40,Agent2,Agent6,disagree,disagree,defends
Norm 40,Agent1,Agent10,disagree,disagree,attacks
Norm 40,Agent8,Agent1,agree,disagree,attacks
Norm 40,Agent8,Agent9,agree,disagree,defends
Norm 40,Agent5,Agent7,agree,agree,attacks
Norm 40,Agent3,Agent10,neutral,disagree,defends
Norm 41,Agent4,Agent5,disagree,disagree,defends
Norm 41,Agent1,Agent6,disagree,disagree,defends
Norm 41,Agent3,Agent10,disagree,neutral,attacks
Norm 41,Agent10,Agent9,neutral,neutral,attacks
Norm 41,Agent9,Agent5,neutral,disagree,attacks
Norm 41,Agent3,Agent6,disagree,disagree,attacks
Norm 41,Agent9,Agent3,neutral,disagree,attacks
Norm 41,Agent6,Agent4,disagree,disagree,defends
Norm 41,Agent5,Agent4,disagree,disagree,defends
Norm 41,Agent7,Agent1,agree,disagree,defends
Norm 41,Agent6,Agent5,disagree,disagree,defends
Norm 41,Agent1,Agent3,disagree,disagree,attacks
Norm 42,Agent8,Agent10,disagree,disagree,attacks
Norm 42,Agent9,Agent5,disagree,agree,attacks
Norm 42,Agent8,Agent4,disagree,agree,defends
Norm 42,Agent8,Agent7,disagree,disagree,attacks
Norm 42,Agent1,Agent4,agree,agree,attacks
Norm 42,Agent4,Agent10,agree,disagree,defends
Norm 43,Agent2,Agent3,neutral,disagree,defends
Norm 43,Agent9,Agent1,agree,disagree,attacks
Norm 43,Agent3,Agent5,disagree,disagree,attacks
Norm 43,Agent1,Agent6,disagree,agree,attacks
Norm 43,Agent1,Agent3,disagree,disagree,attacks
Norm 43,Agent6,Agent5,agree,disagree,defends
Norm 43,Agent8,Agent3,disagree,disagree,attacks
Norm 43,Agent5,Agent1,disagree,disagree,attacks
Norm 43,Agent5,Agent1,disagree,disagree,defends
Norm 43,Agent10,Agent7,agree,agree,defends
Norm 43,Agent10,Agent8,agree,disagree,attacks
Norm 44,Agent4,Agent10,neutral,neutral,defends
Norm 44,Agent9,Agent7,agree,disagree,attacks
Norm 44,Agent5,Agent4,neutral,neutral,defends
Norm 44,Agent7,Agent6,disagree,neutral,attacks
Norm 44,Agent10,Agent2,neutral,agree,defends
Norm 44,Agent2,Agent1,agree,agree,attacks
Norm 44,Agent6,Agent7,neutral,disagree,defends
Norm 44,Agent8,Agent4,neutral,neutral,defends
Norm 44,Agent2,Agent6,agree,neutral,defends
Norm 44,Agent8,Agent5,neutral,neutral,defends
Norm 44,Agent3,Agent1,neutral,agree,defends
Norm 44,Agent9,Agent5,agree,neutral,defends
Norm 44,Agent5,Agent9,neutral,agree,attacks
Norm 45,Agent3,Agent1,disagree,neutral,defends
Norm 45,Agent6,Agent9,neutral,disagree,defends
Norm 45,Agent10,Agent6,disagree,neutral,defends
Norm 45,Agent5,Agent9,agree,disagree,attacks
Norm 45,Agent2,Agent5,neutral,agree,attacks
Norm 45,Agent2,Agent5,neutral,agree,attacks
Norm 45,Agent8,Agent10,agree,disagree,attacks
Norm 45,Agent7,Agent3,disagree,disagree,attacks
Norm 45,Agent8,Agent3,agree,disagree,defends
Norm 46,Agent2,Agent7,disagree,neutral,attacks
Norm 46,Agent8,Agent7,agree,neutral,defends
Norm 46,Agent8,Agent6,agree,disagree,defends
Norm 46,Agent1,Agent3,disagree,agree,defends
Norm 46,Agent2,Agent4,disagree,neutral,attacks
Norm 47,Agent4,Agent10,neutral,disagree,defends
Norm 47,Agent6,Agent8,neutral,agree,attacks
Norm 47,Agent9,Agent1,disagree,neutral,defends
Norm 47,Agent10,Agent1,disagree,neutral,defends
Norm 47,Agent8,Agent2,agree,neutral,defends
Norm 47,Agent7,Agent2,agree,neutral,attacks
Norm 47,Agent6,Agent9,neutral,disagree,defends
Norm 47,Agent6,Agent2,neutral,neutral,defends
Norm 47,Agent3,Agent7,disagree,agree,defends
Norm 47,Agent3,Agent7,disagree,agree,attacks
Norm 48,Agent8,Agent3,neutral,neutral,defends
Norm 48,Agent3,Agent5,neutral,disagree,defends
Norm 48,Agent4,Agent10,disagree,neutral,attacks
Norm 48,Agent5,Agent10,disagree,neutral,attacks
Norm 48,Agent10,Agent7,neutral,disagree,defends
Norm 48,Agent10,Agent4,neutral,disagree,defends
Norm 48,Agent10,Agent2,neutral,agree,attacks
Norm 48,Agent2,Agent6,agree,disagree,attacks
Norm 48,Agent5,Agent4,disagree,disagree,attacks
Norm 48,Agent1,Agent10,disagree,neutral,attacks
Norm 48,Agent9,Agent8,agree,neutral,defends
Norm 48,Agent6,Agent9,disagree,agree,attacks
Norm 48,Agent4,Agent3,disagree,neutral,attacks
Norm 48,Agent5,Agent8,disagree,neutral,attacks
Norm 48,Agent7,Agent4,disagree,disagree,defends
Norm 49,Agent6,Agent3,disagree,disagree,defends
Norm 49,Agent6,Agent8,disagree,neutral,attacks
Norm 49,Agent1,Agent7,agree,neutral,attacks
Norm 49,Agent9,Agent5,neutral,agree,defends
Norm 49,Agent4,Agent7,disagree,neutral,defends
Norm 49,Agent3,Agent6,disagree,disagree,defends
Norm 49,Agent5,Agent3,agree,disagree,defends
Norm 49,Agent9,Agent10,neutral,agree,defends
Norm 49,Agent9,Agent3,neutral,disagree,defends
Norm 50,Agent5,Agent10,disagree,agree,defends
Norm 50,Agent2,Agent1,agree,agree,defends
Norm 50,Agent5,Agent10,disagree,agree,attacks
Norm 50,Agent10,Agent7,agree,disagree,attacks
Norm 50,Agent10,Agent6,agree,agree,attacks
Norm 50,Agent2,Agent1,agree,agree,defends
